FID,ID,COMPANY,SAMPLE,TYPE,MESH,DATUM,PROJECTION,EASTING,NORTHING,LONGITUDE,LATITUDE,WGS84,WGS840,REPORTNO,LITHOLOGY,HORIZON,REGOLITH,METHOD,AG_PPB,AS_,AU_PPB,AU1_PPB,AU2_PPB,BI,CO,CU,HG,MO,NI,PB,PT_PPB,SB,SN,TE,U,W,ZN
1647,3155661,JB AW,DS3300, , ,MGA94,MGA56,429625,7101150,152.296,-26.2075,152.296,-26.2075, , , , , ,0,4,0.00005,0,0,0,11,16,0,0,6,0,0,0,0,0,0,0,0
1648,3155662,NW,DS3301, , ,MGA94,MGA56,426999,7100205,152.269,-26.2159,152.269,-26.2159, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,3155663,NW,DS3302, , ,MGA94,MGA56,427040,7100310,152.27,-26.2149,152.27,-26.2149, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,3155664,NW,DS3303, , ,MGA94,MGA56,426973,7100359,152.269,-26.2145,152.269,-26.2145, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651,3155665,NW,DS3304, , ,MGA94,MGA56,426894,7100453,152.268,-26.2136,152.268,-26.2136, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652,3155666,NW,DS3305, , ,MGA94,MGA56,426827,7100477,152.268,-26.2134,152.268,-26.2134, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653,3155667,NW,DS3306, , ,MGA94,MGA56,426765,7100462,152.267,-26.2135,152.267,-26.2135, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1654,3155668,NW,DS3307, , ,MGA94,MGA56,426790,7100552,152.267,-26.2127,152.267,-26.2127, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1655,3155669,NW,DS3308, , ,MGA94,MGA56,426849,7100545,152.268,-26.2128,152.268,-26.2128, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656,3155670,NW,DS3309, , ,MGA94,MGA56,426924,7100543,152.268,-26.2128,152.268,-26.2128, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657,3155671,NW,DS3310, , ,MGA94,MGA56,427000,7100556,152.269,-26.2127,152.269,-26.2127, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,3155672,NW,DS3311, , ,MGA94,MGA56,427102,7100578,152.27,-26.2125,152.27,-26.2125, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,3155673,NW,DS3312, , ,MGA94,MGA56,427027,7100469,152.27,-26.2135,152.27,-26.2135, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1660,3155674,NW,DS3313, , ,MGA94,MGA56,426937,7100446,152.269,-26.2137,152.269,-26.2137, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,3155675,NW,DS3314, , ,MGA94,MGA56,426855,7100390,152.268,-26.2142,152.268,-26.2142, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,3155676,NW,DS3315, , ,MGA94,MGA56,427006,7100682,152.269,-26.2116,152.269,-26.2116, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663,3155677,NW,DS3316, , ,MGA94,MGA56,427042,7100664,152.27,-26.2117,152.27,-26.2117, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1664,3155678,NW,DS3317, , ,MGA94,MGA56,427081,7100660,152.27,-26.2118,152.27,-26.2118, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,3155679,NW,DS3318, , ,MGA94,MGA56,426594,7099466,152.265,-26.2225,152.265,-26.2225, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,3155680,NW,DS3319, , ,MGA94,MGA56,426529,7099400,152.264,-26.2231,152.264,-26.2231, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,3155681,NW,DS3320, , ,MGA94,MGA56,426493,7099452,152.264,-26.2226,152.264,-26.2226, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,3155682,NW,DS3321, , ,MGA94,MGA56,426437,7099504,152.264,-26.2222,152.264,-26.2222, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669,3155683,NW,DS3322, , ,MGA94,MGA56,426537,7099602,152.265,-26.2213,152.265,-26.2213, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,3155684,NW,DS3323, , ,MGA94,MGA56,426586,7099549,152.265,-26.2218,152.265,-26.2218, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671,3155685,NW,DS3324, , ,MGA94,MGA56,426873,7099445,152.268,-26.2227,152.268,-26.2227, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,3155686,NW,DS3325, , ,MGA94,MGA56,426915,7099479,152.268,-26.2224,152.268,-26.2224, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1673,3155687,NW,DS3326, , ,MGA94,MGA56,426979,7099433,152.269,-26.2228,152.269,-26.2228, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1674,3155688,NW,DS3327, , ,MGA94,MGA56,426941,7099365,152.269,-26.2234,152.269,-26.2234, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,3155689,NW,DS3328, , ,MGA94,MGA56,427678,7098669,152.276,-26.2298,152.276,-26.2298, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,3155690,NW,DS3329, , ,MGA94,MGA56,427752,7098601,152.277,-26.2304,152.277,-26.2304, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,3155691,NW,DS3330, , ,MGA94,MGA56,427789,7098533,152.277,-26.231,152.277,-26.231, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678,3155692,NW,DS3331, , ,MGA94,MGA56,427876,7098451,152.278,-26.2317,152.278,-26.2317, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1679,3155693,NW,DS3332, , ,MGA94,MGA56,428001,7098434,152.279,-26.2319,152.279,-26.2319, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1680,3155694,NW,DS3333, , ,MGA94,MGA56,428070,7098364,152.28,-26.2325,152.28,-26.2325, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1681,3155695,NW,DS3334, , ,MGA94,MGA56,428177,7098332,152.281,-26.2328,152.281,-26.2328, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1682,3155696,NW,DS3335, , ,MGA94,MGA56,428308,7098315,152.282,-26.233,152.282,-26.233, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683,3155697,NW,DS3336, , ,MGA94,MGA56,428328,7098560,152.282,-26.2308,152.282,-26.2308, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1684,3155698,NW,DS3337, , ,MGA94,MGA56,428208,7098507,152.281,-26.2313,152.281,-26.2313, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685,3155699,NW,DS3338, , ,MGA94,MGA56,428117,7098500,152.28,-26.2313,152.28,-26.2313, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1686,3155700,NW,DS3339, , ,MGA94,MGA56,428170,7098478,152.281,-26.2315,152.281,-26.2315, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,3155701,NW,DS3340, , ,MGA94,MGA56,428186,7098396,152.281,-26.2323,152.281,-26.2323, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688,3155702,NW,DS3341, , ,MGA94,MGA56,428180,7098283,152.281,-26.2333,152.281,-26.2333, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689,3155703,NW,DS3342, , ,MGA94,MGA56,428281,7098412,152.282,-26.2321,152.282,-26.2321, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,3155704,NW,DS3343, , ,MGA94,MGA56,428395,7098407,152.283,-26.2322,152.283,-26.2322, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1691,3155705,NW,DS3344, , ,MGA94,MGA56,428347,7098346,152.283,-26.2327,152.283,-26.2327, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,3155706,NW,DS3345, , ,MGA94,MGA56,426717,7099201,152.266,-26.2249,152.266,-26.2249, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693,3155707,NW,DS3346, , ,MGA94,MGA56,426713,7099240,152.266,-26.2246,152.266,-26.2246, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,3155708,NW,DS3347, , ,MGA94,MGA56,426707,7099270,152.266,-26.2243,152.266,-26.2243, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695,3155709,NW,DS3348, , ,MGA94,MGA56,426703,7099315,152.266,-26.2239,152.266,-26.2239, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696,3155710,NW,DS3349, , ,MGA94,MGA56,426711,7099356,152.266,-26.2235,152.266,-26.2235, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697,3155711,NW,DS3350, , ,MGA94,MGA56,426698,7099398,152.266,-26.2231,152.266,-26.2231, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698,3155712,NW,DS3351, , ,MGA94,MGA56,426629,7099149,152.265,-26.2254,152.265,-26.2254, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1699,3155713,NW,DS3352, , ,MGA94,MGA56,426589,7099241,152.265,-26.2245,152.265,-26.2245, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,3155714,NW,DS3353, , ,MGA94,MGA56,426602,7099281,152.265,-26.2242,152.265,-26.2242, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,3155715,NW,DS3354, , ,MGA94,MGA56,426605,7099320,152.265,-26.2238,152.265,-26.2238, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,3155716,NW,DS3355, , ,MGA94,MGA56,426604,7099365,152.265,-26.2234,152.265,-26.2234, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703,3155717,NW,DS3356, , ,MGA94,MGA56,426620,7099067,152.265,-26.2261,152.265,-26.2261, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,3155718,NW,DS3357, , ,MGA94,MGA56,426612,7099021,152.265,-26.2265,152.265,-26.2265, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,3155719,NW,DS3358, , ,MGA94,MGA56,426506,7099165,152.264,-26.2252,152.264,-26.2252, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
